num_leaves,max_depth,min_child_samples,learning_rate,best_iteration,stopped_early,complexity_score,val_rmse
15,3,20,0.03,52,True,2.142857142857143,0.11829755615183091
15,3,20,0.05,28,True,2.142857142857143,0.11836531684670692
15,3,50,0.03,52,True,0.8823529411764706,0.11831466324483726
15,3,50,0.05,28,True,0.8823529411764706,0.1180528350878724
15,3,100,0.03,34,True,0.44554455445544555,0.1186102191196474
15,3,100,0.05,27,True,0.44554455445544555,0.11859704132642385
15,5,20,0.03,69,True,3.5714285714285716,0.11852025153352079
15,5,20,0.05,50,True,3.5714285714285716,0.11824935165122495
15,5,50,0.03,64,True,1.4705882352941178,0.11884670699952857
15,5,50,0.05,43,True,1.4705882352941178,0.11862272935744139
15,5,100,0.03,65,True,0.7425742574257426,0.11897052656221623
15,5,100,0.05,42,True,0.7425742574257426,0.11895885997708404
15,7,20,0.03,96,True,5.0,0.11786296120252673
15,7,20,0.05,41,True,5.0,0.11834817543239184
15,7,50,0.03,77,True,2.0588235294117645,0.1181177059665046
15,7,50,0.05,38,True,2.0588235294117645,0.11819641304038137
15,7,100,0.03,68,True,1.0396039603960396,0.11868901720458418
15,7,100,0.05,49,True,1.0396039603960396,0.11884410926664259
31,3,20,0.03,52,True,4.428571428571429,0.11829755615183091
31,3,20,0.05,28,True,4.428571428571429,0.11836531684670692
31,3,50,0.03,52,True,1.8235294117647058,0.11831466324483726
31,3,50,0.05,28,True,1.8235294117647058,0.1180528350878724
31,3,100,0.03,34,True,0.9207920792079208,0.1186102191196474
31,3,100,0.05,27,True,0.9207920792079208,0.11859704132642385
31,5,20,0.03,74,True,7.380952380952381,0.11837659247856076
31,5,20,0.05,28,True,7.380952380952381,0.11849592899873132
31,5,50,0.03,47,True,3.0392156862745097,0.11882685754158465
31,5,50,0.05,45,True,3.0392156862745097,0.11853764684669564
31,5,100,0.03,64,True,1.5346534653465347,0.11895974568366449
31,5,100,0.05,42,True,1.5346534653465347,0.11895885997708404
31,7,20,0.03,73,True,10.333333333333334,0.11812565701883589
31,7,20,0.05,40,True,10.333333333333334,0.118429138685993
31,7,50,0.03,71,True,4.254901960784314,0.11845439561220218
31,7,50,0.05,35,True,4.254901960784314,0.11848379147357364
31,7,100,0.03,64,True,2.1485148514851486,0.11882150141125893
31,7,100,0.05,23,True,2.1485148514851486,0.11896640032165008
63,3,20,0.03,52,True,9.0,0.11829755615183091
63,3,20,0.05,28,True,9.0,0.11836531684670692
63,3,50,0.03,52,True,3.7058823529411766,0.11831466324483726
63,3,50,0.05,28,True,3.7058823529411766,0.1180528350878724
63,3,100,0.03,34,True,1.8712871287128714,0.1186102191196474
63,3,100,0.05,27,True,1.8712871287128714,0.11859704132642385
63,5,20,0.03,74,True,15.0,0.11837659247856076
63,5,20,0.05,28,True,15.0,0.11849592899873132
63,5,50,0.03,47,True,6.176470588235294,0.11882685754158465
63,5,50,0.05,45,True,6.176470588235294,0.11853764684669564
63,5,100,0.03,64,True,3.118811881188119,0.11895974568366449
63,5,100,0.05,42,True,3.118811881188119,0.11895885997708404
63,7,20,0.03,28,True,21.0,0.11867497572952329
63,7,20,0.05,20,True,21.0,0.11893022511909555
63,7,50,0.03,83,True,8.647058823529411,0.11844164644678341
63,7,50,0.05,43,True,8.647058823529411,0.11842452594883277
63,7,100,0.03,64,True,4.366336633663367,0.11882150141125893
63,7,100,0.05,23,True,4.366336633663367,0.11896825862133908
