feature,missing_rate,coverage_rate,total_rows,missing_rows,valid_rows
RevGrowth_YoY,0.9436586515794436,0.05634134842055638,16968,16012,956
EarnGrowth_YoY,0.9436586515794436,0.05634134842055638,16968,16012,956
PE_TTM,0.9014026402640264,0.09859735973597361,16968,15295,1673
EV_EBITDA,0.8732319660537482,0.1267680339462518,16968,14817,2151
LogMktCap,0.7746346063177746,0.2253653936822254,16968,13144,3824
GrossMargin,0.7746346063177746,0.2253653936822254,16968,13144,3824
PB_ratio,0.7746346063177746,0.2253653936822254,16968,13144,3824
ROE,0.7746346063177746,0.2253653936822254,16968,13144,3824
CashFlowYield,0.7746346063177746,0.2253653936822254,16968,13144,3824
High52W,0.30981848184818483,0.6901815181518152,16968,5257,11711
IdioVol,0.30981848184818483,0.6901815181518152,16968,5257,11711
Trend_MA,0.30981848184818483,0.6901815181518152,16968,5257,11711
Mom_1,0.0,1.0,16968,0,16968
Mom_12_1,0.0,1.0,16968,0,16968
Mom_6_1,0.0,1.0,16968,0,16968
MaxRet_1M,0.0,1.0,16968,0,16968
Beta_12,0.0,1.0,16968,0,16968
Vol_12,0.0,1.0,16968,0,16968
VolRatio,0.0,1.0,16968,0,16968
