date,feature,ic
2020-06-30,Mom_12_1,0.3008043745012438
2020-06-30,Mom_6_1,0.3765525700773398
2020-06-30,Mom_1,0.20704509757931033
2020-06-30,Vol_12,-0.22149117048440056
2020-06-30,IdioVol,
2020-06-30,Beta_12,-0.22650226941610294
2020-06-30,High52W,
2020-06-30,Trend_MA,
2020-06-30,MaxRet_1M,-0.3049096975795774
2020-06-30,PB_ratio,
2020-06-30,PE_TTM,
2020-06-30,EV_EBITDA,
2020-06-30,ROE,
2020-06-30,GrossMargin,
2020-06-30,CashFlowYield,
2020-06-30,RevGrowth_YoY,
2020-06-30,EarnGrowth_YoY,
2020-06-30,LogMktCap,
2020-06-30,VolRatio,-0.1930975027583196
2020-07-31,Mom_12_1,-0.016722337470553073
2020-07-31,Mom_6_1,-0.010630779508456102
2020-07-31,Mom_1,0.001072395485390809
2020-07-31,Vol_12,0.02389596005766323
2020-07-31,IdioVol,0.020098625224148237
2020-07-31,Beta_12,0.0954761412940434
2020-07-31,High52W,-0.02370587973542647
2020-07-31,Trend_MA,0.0006548644562427481
2020-07-31,MaxRet_1M,0.05410762631412397
2020-07-31,PB_ratio,
2020-07-31,PE_TTM,
2020-07-31,EV_EBITDA,
2020-07-31,ROE,
2020-07-31,GrossMargin,
2020-07-31,CashFlowYield,
2020-07-31,RevGrowth_YoY,
2020-07-31,EarnGrowth_YoY,
2020-07-31,LogMktCap,
2020-07-31,VolRatio,0.0466738159699026
2020-08-31,Mom_12_1,0.25682729158609047
2020-08-31,Mom_6_1,0.25826975141521047
2020-08-31,Mom_1,0.16570092472135295
2020-08-31,Vol_12,-0.13778436060616714
2020-08-31,IdioVol,-0.06714865862663057
2020-08-31,Beta_12,-0.20115432048311319
2020-08-31,High52W,0.2502107056898299
2020-08-31,Trend_MA,0.2624503357828487
2020-08-31,MaxRet_1M,-0.09515839808726838
2020-08-31,PB_ratio,
2020-08-31,PE_TTM,
2020-08-31,EV_EBITDA,
2020-08-31,ROE,
2020-08-31,GrossMargin,
2020-08-31,CashFlowYield,
2020-08-31,RevGrowth_YoY,
2020-08-31,EarnGrowth_YoY,
2020-08-31,LogMktCap,
2020-08-31,VolRatio,0.04291603670757005
2020-09-30,Mom_12_1,0.025321718645617244
2020-09-30,Mom_6_1,-0.002342568826693857
2020-09-30,Mom_1,-0.16097974754755456
2020-09-30,Vol_12,0.08451091733764635
2020-09-30,IdioVol,0.06756091557962096
2020-09-30,Beta_12,0.06278617382142103
2020-09-30,High52W,-0.0783918243806925
2020-09-30,Trend_MA,-0.05597025421047079
2020-09-30,MaxRet_1M,-0.005103547695228718
2020-09-30,PB_ratio,
2020-09-30,PE_TTM,
2020-09-30,EV_EBITDA,
2020-09-30,ROE,
2020-09-30,GrossMargin,
2020-09-30,CashFlowYield,
2020-09-30,RevGrowth_YoY,
2020-09-30,EarnGrowth_YoY,
2020-09-30,LogMktCap,
2020-09-30,VolRatio,-0.004572624028690974
2020-10-31,Mom_12_1,-0.3473699940227136
2020-10-31,Mom_6_1,0.07559421258042966
2020-10-31,Mom_1,-0.16849091100875493
2020-10-31,Vol_12,0.48122868394219614
2020-10-31,IdioVol,0.5332565662248162
2020-10-31,Beta_12,0.47814247037727214
2020-10-31,High52W,-0.44276463940482746
2020-10-31,Trend_MA,-0.3615361625821877
2020-10-31,MaxRet_1M,0.34429960268626275
2020-10-31,PB_ratio,
2020-10-31,PE_TTM,
2020-10-31,EV_EBITDA,
2020-10-31,ROE,
2020-10-31,GrossMargin,
2020-10-31,CashFlowYield,
2020-10-31,RevGrowth_YoY,
2020-10-31,EarnGrowth_YoY,
2020-10-31,LogMktCap,
2020-10-31,VolRatio,-0.19265409092507296
2020-11-30,Mom_12_1,-0.14657272951021413
2020-11-30,Mom_6_1,-0.03110913821595584
2020-11-30,Mom_1,0.010744172145845785
2020-11-30,Vol_12,0.2796280018283464
2020-11-30,IdioVol,
2020-11-30,Beta_12,0.23590503146865435
2020-11-30,High52W,
2020-11-30,Trend_MA,
2020-11-30,MaxRet_1M,0.21828522203860626
2020-11-30,PB_ratio,
2020-11-30,PE_TTM,
2020-11-30,EV_EBITDA,
2020-11-30,ROE,
2020-11-30,GrossMargin,
2020-11-30,CashFlowYield,
2020-11-30,RevGrowth_YoY,
2020-11-30,EarnGrowth_YoY,
2020-11-30,LogMktCap,
2020-11-30,VolRatio,0.017089764776203366
2020-12-31,Mom_12_1,0.10812647234626067
2020-12-31,Mom_6_1,0.05063728420238388
2020-12-31,Mom_1,0.039552055131676096
2020-12-31,Vol_12,0.21136036004359904
2020-12-31,IdioVol,0.2103732287894237
2020-12-31,Beta_12,0.09063763580746105
2020-12-31,High52W,-0.03598436836776942
2020-12-31,Trend_MA,0.06448700819239829
2020-12-31,MaxRet_1M,0.05167451918005695
2020-12-31,PB_ratio,
2020-12-31,PE_TTM,
2020-12-31,EV_EBITDA,
2020-12-31,ROE,
2020-12-31,GrossMargin,
2020-12-31,CashFlowYield,
2020-12-31,RevGrowth_YoY,
2020-12-31,EarnGrowth_YoY,
2020-12-31,LogMktCap,
2020-12-31,VolRatio,-0.017355226609472238
2021-01-31,Mom_12_1,-0.5137020498575998
2021-01-31,Mom_6_1,0.15709802749551702
2021-01-31,Mom_1,0.34179441651137443
2021-01-31,Vol_12,0.4677780317147779
2021-01-31,IdioVol,0.40343606061671533
2021-01-31,Beta_12,0.5621268591118456
2021-01-31,High52W,-0.18636536005298038
2021-01-31,Trend_MA,0.10333497415702682
2021-01-31,MaxRet_1M,0.25686948419535177
2021-01-31,PB_ratio,
2021-01-31,PE_TTM,
2021-01-31,EV_EBITDA,
2021-01-31,ROE,
2021-01-31,GrossMargin,
2021-01-31,CashFlowYield,
2021-01-31,RevGrowth_YoY,
2021-01-31,EarnGrowth_YoY,
2021-01-31,LogMktCap,
2021-01-31,VolRatio,-0.21838894553637353
2021-02-28,Mom_12_1,-0.2661764705882353
2021-02-28,Mom_6_1,-0.32217573221757323
2021-02-28,Mom_1,0.0007304595478358707
2021-02-28,Vol_12,-0.3028655813789951
2021-02-28,IdioVol,
2021-02-28,Beta_12,-0.1467502900741887
2021-02-28,High52W,
2021-02-28,Trend_MA,
2021-02-28,MaxRet_1M,-0.20669631869484192
2021-02-28,PB_ratio,
2021-02-28,PE_TTM,
2021-02-28,EV_EBITDA,
2021-02-28,ROE,
2021-02-28,GrossMargin,
2021-02-28,CashFlowYield,
2021-02-28,RevGrowth_YoY,
2021-02-28,EarnGrowth_YoY,
2021-02-28,LogMktCap,
2021-02-28,VolRatio,0.09402886677683625
2021-03-31,Mom_12_1,-0.055238036637249036
2021-03-31,Mom_6_1,-0.16929169157202628
2021-03-31,Mom_1,-0.007405681938047186
2021-03-31,Vol_12,-0.13093509370275305
2021-03-31,IdioVol,
2021-03-31,Beta_12,-0.05321191238001476
2021-03-31,High52W,
2021-03-31,Trend_MA,
2021-03-31,MaxRet_1M,-0.17986973031890577
2021-03-31,PB_ratio,
2021-03-31,PE_TTM,
2021-03-31,EV_EBITDA,
2021-03-31,ROE,
2021-03-31,GrossMargin,
2021-03-31,CashFlowYield,
2021-03-31,RevGrowth_YoY,
2021-03-31,EarnGrowth_YoY,
2021-03-31,LogMktCap,
