feature,mean_ic,std_ic,median_ic,ic_ir
Beta_12,0.03007460998571868,0.20882575976875936,0.035188636123905624,0.14401772089334874
CashFlowYield,0.005161510067539791,0.1421914475347176,0.03711106950448808,0.036299722360443314
EV_EBITDA,-0.010785422702918221,0.19099670441775393,-0.072237194725037,-0.0564691560296664
EarnGrowth_YoY,0.06111863692446523,0.10979579926523078,0.04727125122299892,0.5566573341920174
GrossMargin,-0.035565100459287055,0.1447916503235051,-0.060454524392573775,-0.24562949852304783
High52W,-0.03979245883010168,0.2280680129663483,-0.007616585986745973,-0.17447628149403438
IdioVol,0.03238154037407154,0.19765110278094597,0.020098625224148237,0.16383182243085967
LogMktCap,-0.007419872650637362,0.11563747822677976,-0.009413260282975242,-0.06416494690489573
MaxRet_1M,-0.0007409863858903058,0.20694922897184562,0.028557364368341474,-0.0035805225734429577
Mom_1,-0.0228337203932625,0.15376285114659485,-0.009446749411061495,-0.14849959026509743
Mom_12_1,0.008431405673045742,0.19203671686762555,0.025319081607538412,0.04390517506533742
Mom_6_1,0.011500633262437044,0.195224850447042,0.057169227523645436,0.05890967894764396
PB_ratio,-0.05175647308195799,0.17041920386021664,-0.106781087534607,-0.30370094396409886
PE_TTM,-0.022392881200080834,0.1806651451352361,-0.03949162348789019,-0.12394688075178387
ROE,-0.016127730536347303,0.06859676657693106,-0.0022133559063999856,-0.23510919451662649
RevGrowth_YoY,0.12384332201964898,0.16158042560964536,0.17779324697341622,0.7664500297754897
Trend_MA,-0.025032381913448986,0.20752377448251907,-0.02614886958967687,-0.12062416451257066
VolRatio,0.0022229799458821217,0.12746181341864862,0.009264793783622233,0.017440360263671593
Vol_12,0.0211932314194023,0.21132465663696168,0.02389596005766323,0.10028754692742986
