feature,baseline_ic,full_ic,incremental_ic,n_months_baseline,n_months_full
Beta_12,-0.003882353950412496,0.00401269986624763,0.007895053816660126,54,54
Vol_12,-0.003054580703365242,0.004003787833845919,0.007058368537211162,54,54
IdioVol,-0.0008487703997113188,0.003991050529568886,0.004839820929280205,54,54
MaxRet_1M,0.0003505459921045615,0.004015871931327365,0.0036653259392228034,54,54
CashFlowYield,0.0027240735087805177,0.003975275490444889,0.0012512019816643713,54,54
Mom_6_1,0.003352569024424833,0.004020606688705363,0.0006680376642805301,54,54
RevGrowth_YoY,0.0034395465288724262,0.003980716482262223,0.0005411699533897966,54,54
VolRatio,0.003913165623159156,0.003977318206465707,6.415258330655111e-05,54,54
EarnGrowth_YoY,0.0040011805372259695,0.003979014847480294,-2.216568974567571e-05,54,54
EV_EBITDA,0.004758465700999442,0.003975487413556364,-0.0007829782874430773,54,54
ROE,0.004901968282557555,0.0039832179125904,-0.0009187503699671553,54,54
PE_TTM,0.004907346105033465,0.003977292715528932,-0.0009300533895045338,54,54
LogMktCap,0.0049533872812853414,0.0039755828113188915,-0.00097780446996645,54,54
Mom_1,0.006699452754804874,0.003986464827965868,-0.0027129879268390058,54,54
GrossMargin,0.006808118251905123,0.0039727620648136305,-0.0028353561870914923,54,54
Mom_12_1,0.007123366331337817,0.003997411991100443,-0.003125954340237374,54,54
PB_ratio,0.007639737253373958,0.003979758779088703,-0.0036599784742852547,54,54
Trend_MA,0.00970642149791505,0.003940844607391396,-0.005765576890523654,54,54
High52W,0.011107165718579838,0.003970567078463437,-0.007136598640116402,54,54
