feature,mean_stability,std_stability,median_stability,min_stability,max_stability,count
Beta_12,0.9224905596048629,0.09844630016788102,0.9573938152666923,0.4079058401603319,0.9999147357687844,70
CashFlowYield,0.7707654746348307,0.2595201786832089,0.9079060516211771,0.2020670012237769,0.992571450672358,14
EV_EBITDA,0.708689772384154,0.2909725069944194,0.7885250178101603,0.3886624487890024,0.9763328258259374,5
EarnGrowth_YoY,0.6084907841841469,0.32151261608617865,0.6084907841841469,0.381147033112583,0.8358345352557109,2
GrossMargin,0.881578088062384,0.25340968818374054,0.9916584722089352,0.19133497478929348,0.9998525646684912,14
High52W,0.7986917437184947,0.10918721724224864,0.829213728285944,0.4787641928231583,0.9343359938117506,29
IdioVol,0.9890252234207778,0.006901894805979875,0.9909145248057382,0.9730362856439647,0.9988432192960865,29
LogMktCap,0.8627270605010394,0.3043425573241044,0.9961415670011025,0.007831203278258586,0.9983430581608562,14
MaxRet_1M,0.42167166326304895,0.11293497727399014,0.4384475756829928,0.1260398720157519,0.6572251060267337,70
Mom_1,0.029851190462944353,0.16682039391046588,0.04125030765444253,-0.39385482226363344,0.3489952884919658,70
Mom_12_1,0.8935863342741894,0.06376251384534397,0.9065974297668857,0.4992519601983052,0.9633346225519496,70
Mom_6_1,0.7747896060071187,0.08435154702364965,0.7880933335677367,0.4140387117189972,0.9188653704159487,70
PB_ratio,0.8715260659101673,0.26727768402570734,0.9871401303579124,0.21209444312823747,0.9947557768258463,14
PE_TTM,0.6867169023612162,0.3376663675663537,0.8221680773215252,0.28981281719505525,0.9823212291239762,5
ROE,0.835729333614579,0.22572574911954327,0.9682324254288273,0.3105762510972907,0.9968803784683706,14
RevGrowth_YoY,0.4909704430112869,0.4154341467876265,0.4909704430112869,0.19721414068130863,0.7847267453412652,2
Trend_MA,0.8610300331357474,0.06370210233703047,0.8698428325305018,0.6628327063042789,0.9572562497802468,29
VolRatio,-0.1361389054324129,0.18199029516780424,-0.14340388875215357,-0.5997222319890299,0.29367374564888715,70
Vol_12,0.9591987250914347,0.028425642435700067,0.9651603319151928,0.8452726697373509,0.9961050947575683,70
