params,score
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.05632474635290388
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.05760646157589677
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.05654900956628917
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06342526675803432
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.05807614032179237
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06210923868095563
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07172697613658728
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0682618407904515
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.06825244226526365
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.04621844845156386
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.04499207234512123
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.048268372415836085
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.055670195346210094
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.05502362699167554
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06085637529972555
