date,stocks_sold,stocks_bought,n_changed,n_stocks,turnover
2022-07-31,0,0,0,20,0.0
2022-08-31,0,0,0,20,0.0
2022-09-30,15,15,15,20,0.75
2022-10-31,3,3,3,20,0.15
2022-11-30,0,0,0,20,0.0
2022-12-31,9,9,9,20,0.45
2023-01-31,4,4,4,20,0.2
2023-02-28,3,3,3,20,0.15
2023-03-31,9,9,9,20,0.45
2023-04-30,5,5,5,20,0.25
2023-05-31,3,3,3,20,0.15
2023-06-30,7,7,7,20,0.35
2023-07-31,5,5,5,20,0.25
2023-08-31,4,4,4,20,0.2
2023-09-30,7,7,7,20,0.35
2023-10-31,7,7,7,20,0.35
2023-11-30,3,3,3,20,0.15
2023-12-31,8,8,8,20,0.4
2024-01-31,6,6,6,20,0.3
2024-02-29,4,4,4,20,0.2
2024-03-31,5,5,5,20,0.25
2024-04-30,7,7,7,20,0.35
2024-05-31,3,3,3,20,0.15
2024-06-30,5,5,5,20,0.25
2024-07-31,5,5,5,20,0.25
2024-08-31,4,4,4,20,0.2
2024-09-30,7,7,7,20,0.35
2024-10-31,7,7,7,20,0.35
2024-11-30,5,5,5,20,0.25
2024-12-31,4,4,4,20,0.2
2025-01-31,6,6,6,20,0.3
2025-02-28,5,5,5,20,0.25
2025-03-31,5,5,5,20,0.25
2025-04-30,8,8,8,20,0.4
2025-05-31,4,4,4,20,0.2
2025-06-30,7,7,7,20,0.35
2025-07-31,3,3,3,20,0.15
2025-08-31,5,5,5,20,0.25
2025-09-30,8,8,8,20,0.4
2025-10-31,3,3,3,20,0.15
2025-11-30,3,3,3,20,0.15
2025-12-31,5,5,5,20,0.25
2026-01-31,3,3,3,20,0.15
2026-02-28,4,4,4,20,0.2
2026-03-31,3,3,3,20,0.15
2026-04-30,5,5,5,20,0.25
